journal_id,journal_name,profile_url,google_scholar_url,website_url,editor_url,affiliation,affiliation_url,p_issn,e_issn,subject_area,accreditation,is_scopus_indexed,is_garuda_indexed,garuda_url,impact_score,h5_index,citations_5yr,citations_total,cover_image_url,source_file,extraction_index,extracted_at
911,"Journal of Tropical Life Science : International Journal of Theoretical, Experimental, and Applied Life Sciences",https://sinta.kemdiktisaintek.go.id/journals/profile/911,https://scholar.google.co.id/citations?user=8jDn6DAAAAAJ&hl=en,http://jtrolis.ub.ac.id/index.php/jtrolis/index,,"Jurusan Biologi, Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Brawijaya",https://sinta.kemdiktisaintek.go.id/affiliations/profile/404,,25274376,"Agriculture, Social",S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/902,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=8jDn6DAAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,1,2026-01-12T07:15:23.137412
915,CommIT (Communication and Information Technology) Journal,https://sinta.kemdiktisaintek.go.id/journals/profile/915,https://scholar.google.co.id/citations?user=MFlPgFEAAAAJ&hl=en,https://journal.binus.ac.id/index.php/commit/about/editorialTeam,,Bina Nusantara University,https://sinta.kemdiktisaintek.go.id/affiliations/profile/388,19792484,24607010,Science,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/5985,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=MFlPgFEAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,2,2026-01-12T07:15:23.142413
10525,PETITA: Jurnal Kajian Ilmu Hukum dan Syariah,https://sinta.kemdiktisaintek.go.id/journals/profile/10525,https://scholar.google.co.id/citations?user=U41Wo8UAAAAJ&hl=en,http://petita.ar-raniry.ac.id/index.php/petita/about/editorialTeam,,Universitas Islam Negeri Ar-Raniry,https://sinta.kemdiktisaintek.go.id/affiliations/profile/3519,25028006,25498274,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/10955,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=U41Wo8UAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,3,2026-01-12T07:15:23.143411
817,ADDIN,https://sinta.kemdiktisaintek.go.id/journals/profile/817,https://scholar.google.co.id/citations?user=ti0VGuAAAAAJ&hl=en,http://journal.stainkudus.ac.id/index.php/Addin/about/editorialTeam,,LPPM IAIN Kudus,https://sinta.kemdiktisaintek.go.id/affiliations/profile/185,08540594,24769479,"Humanities, Education, Art, Religion",S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/19506,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=ti0VGuAAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,4,2026-01-12T07:15:23.144410
1566,Jurnal Civics: Media Kajian Kewarganegaraan,https://sinta.kemdiktisaintek.go.id/journals/profile/1566,https://scholar.google.co.id/citations?user=WScZ1poAAAAJ&hl=en,https://journal.uny.ac.id/index.php/civics/about/editorialTeam,,Jurusan Pendidikan Kewarganegaraan dan Hukum Fakultas Ilmu Sosial Universitas Negeri Yogyakarta,https://sinta.kemdiktisaintek.go.id/affiliations/profile/381,18295789,25411918,"Education, Social",S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/474,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=WScZ1poAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,5,2026-01-12T07:15:23.145410
1103,Buletin Ekonomi Moneter dan Perbankan,https://sinta.kemdiktisaintek.go.id/journals/profile/1103,https://scholar.google.co.id/citations?user=BSZOSwYAAAAJ&hl=en,https://www.bmeb-bi.org/index.php/BEMP/about/editorialTeam,,"Bank Indonesia Institute, Bank Indonesia",https://sinta.kemdiktisaintek.go.id/affiliations/profile/8161,24609196,24609196,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/14631,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=BSZOSwYAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,6,2026-01-12T07:15:23.145410
674,Paramita: Historical Studies Journal,https://sinta.kemdiktisaintek.go.id/journals/profile/674,https://scholar.google.co.id/citations?user=M4gtwc8AAAAJ&hl=en,http://journal.unnes.ac.id/nju/index.php/paramita/about/editorialTeam,,"Jurusan Sejarah, Fakultas Ilmu Sosial, Universitas Negeri Semarang",https://sinta.kemdiktisaintek.go.id/affiliations/profile/9,08540039,24075825,Education,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/5646,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=M4gtwc8AAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,7,2026-01-12T07:15:23.146410
866,Journal of Indonesian Economy and Business,https://sinta.kemdiktisaintek.go.id/journals/profile/866,,https://journal.ugm.ac.id/v3/jieb/about/editorialTeam,,"Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",https://sinta.kemdiktisaintek.go.id/affiliations/profile/384,20858272,23385847,Economy,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/7317,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page10_20260112_054225.html,8,2026-01-12T07:15:23.147410
691,Bulletin of Chemical Reaction Engineering & Catalysis,https://sinta.kemdiktisaintek.go.id/journals/profile/691,,https://journal.bcrec.id/index.php/bcrec/about/editorialTeam,,Masyarakat Katalis Indonesia - Indonesian Catalyst Society (MKICS),https://sinta.kemdiktisaintek.go.id/affiliations/profile/6,0,19782993,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/7209,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page10_20260112_054225.html,9,2026-01-12T07:15:23.148409
7521,Teknomekanik,https://sinta.kemdiktisaintek.go.id/journals/profile/7521,https://scholar.google.co.id/citations?user=FWh929oAAAAJ&hl=en,http://teknomekanik.ppj.unp.ac.id/index.php/teknomekanik/about/editorialTeam,,Universitas Negeri Padang,https://sinta.kemdiktisaintek.go.id/affiliations/profile/497,26219980,26218720,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/19112,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=FWh929oAAAAJ&citpid=2,sinta_journals_page10_20260112_054225.html,10,2026-01-12T07:15:23.149409
